ALIGNMNT,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,CITY,COUNTY,C_M_ZONE,DAY,DAY_WEEK,DRUNK_DR,FATALS,FUNC_SYS,HARM_EV,HIT_RUN,HOSP_HR,HOSP_MN,HOUR,LATITUDE,LGT_COND,LONGITUD,MAN_COLL,MILEPT,MINUTE,MONTH,NHS,NOT_HOUR,NOT_MIN,NO_LANES,PAVE_TYP,PEDS,PERMVIT,PERNOTMVIT,PERSONS,PROFILE,PVH_INVL,RAIL,RD_OWNER,RELJCT1,RELJCT2,REL_JUNC,REL_ROAD,ROAD_FNC,ROUTE,RUR_URB,SCH_BUS,SP_JUR,SP_LIMIT,STATE,ST_CASE,SUR_COND,TRAF_FLO,TRA_CONT,TWAY_ID,TWAY_ID2,TYP_INT,T_CONT_F,VE_FORMS,VE_TOTAL,WEATHER,WEATHER1,WEATHER2,WRK_ZONE,YEAR,latitude,longitud
,22,20,0,0,0,0,3,,24,7,0,2,4.0,59,,99,99,22,30.97233333,2,-87.6395,0,311.0,0,1,0,99,99,,,0,4.0,0.0,4,,0.0,0000000,1.0,0.0,1.0,,4,,3,1.0,0,0,,1,10048,,,,SR-3,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,1,32,0,0,0,350,73,,29,5,0,1,7.0,12,,99,99,1,33.529925,6,-86.8809,6,0.0,15,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,4.0,0.0,2.0,,1,,6,2.0,0,0,,1,10049,,,,5TH ST PRATT,AVE U PRATT,2.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,5,11,0,0,0,0,97,,31,7,0,1,3.0,8,,88,88,4,30.84359444,2,-88.3952,0,20.0,50,1,1,4,56,,,1,1.0,1.0,1,,0.0,0000000,1.0,0.0,1.0,,1,,2,1.0,0,0,,1,10050,,,,US-SR 42,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,14,49,0,0,0,3040,109,,1,1,0,1,4.0,12,,99,99,14,31.82342222,1,-85.9605,6,1045.0,38,2,0,99,99,,,0,5.0,0.0,5,,0.0,0000000,1.0,0.0,1.0,,1,,2,2.0,0,0,,1,10051,,,,US-SR 15,,1.0,,2,2.0,2,2.0,0.0,0.0,2015,,
,4,56,0,0,0,9997,83,,9,2,0,1,5.0,32,,88,88,4,34.72961667,2,-86.8562,0,0.0,40,2,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,4.0,0.0,1.0,,4,,6,2.0,0,0,,1,10052,,,,HUNTSVILLE BROWNSFERRY RD,,1.0,,1,1.0,2,2.0,0.0,0.0,2015,,
,18,6,0,0,0,0,37,,1,1,0,1,3.0,35,,99,99,17,33.03825556,2,-86.2256,0,1999.0,55,2,0,99,99,,,0,3.0,0.0,3,,0.0,0000000,1.0,0.0,1.0,,4,,2,1.0,0,0,,1,10053,,,,US-SR 21,,1.0,,1,1.0,2,2.0,0.0,0.0,2015,,
,17,43,0,0,0,0,91,,3,3,0,1,3.0,12,,88,88,17,32.44788333,5,-87.9639,1,261.0,30,2,0,17,31,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,1.0,,1,,2,1.0,0,0,,1,10054,,,,US-SR 8,,1.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,88,88,0,0,0,0,89,,4,4,0,1,3.0,8,,88,88,2,34.86791111,2,-86.5714,0,3443.0,25,2,0,88,88,,,1,1.0,1.0,1,,0.0,0000000,1.0,0.0,1.0,,1,,2,2.0,0,0,,1,10055,,,,US-SR 1,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,2,30,0,0,0,0,3,,8,1,1,1,7.0,59,,88,88,2,30.52108889,2,-87.4586,0,764.0,20,2,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,4,,2,1.0,0,0,,1,10056,,,,US-SR 16,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,18,0,0,0,0,2564,49,,4,4,0,1,3.0,12,,88,88,17,34.45239167,2,-85.7817,1,276.0,52,2,1,99,99,,,0,3.0,0.0,3,,0.0,0000000,1.0,0.0,1.0,,1,,3,1.0,0,0,,1,10057,,,,SR-35,,1.0,,3,3.0,1,1.0,0.0,0.0,2015,,
